Freight Forwarder,Freight Forwarder Name,Freight Forwarder Contact Information,Shipping Company,Shipping Company Name,Shipping Company Contact Information,Mode of Transport,Mode of Transportation,Import/Export,Port of Origin,Port of Destination,Estimated Time of Departure,Estimated Time of Arrival,Container Type,Container Number
FF001,ABC Freight Services,John Doe (john.doe@abcfreight.com),(Empty Field),(Empty Field),(Empty Field),Sea,Sea,Export,Port A,Port B,2023-11-01,2023-11-10,Standard,ABC123
FF002,XYZ Shipping Solutions,Jane Smith (jane.smith@xyzshipping.com),(Empty Field),(Empty Field),(Empty Field),Air,Air,Export,Port C,Port D,2023-11-05,2023-11-15,Reefer,XYZ456
FF003,Global Cargo Logistics,Mark Johnson (mark.johnson@gclogistics.com),(Empty Field),(Empty Field),(Empty Field),Road,Road,Import,Port E,Port F,2023-11-10,2023-11-20,Standard,GCL789
FF004,Swift Transport Services,Mary Brown (mary.brown@swifttrans.com),(Empty Field),(Empty Field),(Empty Field),Rail,Rail,Import,Port G,Port H,2023-11-15,2023-11-25,Flatbed,STS012
FF005,ABC Freight Services,John Doe (john.doe@abcfreight.com),(Empty Field),(Empty Field),(Empty Field),Sea,Sea,Export,Port A,Port B,2023-11-20,2023-11-30,Standard,ABC789
FF006,XYZ Shipping Solutions,Jane Smith (jane.smith@xyzshipping.com),(Empty Field),(Empty Field),(Empty Field),Air,Air,Export,Port C,Port D,2023-11-25,2023-12-05,Reefer,XYZ234
FF007,Global Cargo Logistics,Mark Johnson (mark.johnson@gclogistics.com),(Empty Field),(Empty Field),(Empty Field),Road,Road,Import,Port E,Port F,2023-11-30,2023-12-10,Standard,GCL567
FF008,Swift Transport Services,Mary Brown (mary.brown@swifttrans.com),(Empty Field),(Empty Field),(Empty Field),Rail,Rail,Import,Port G,Port H,2023-12-05,2023-12-15,Flatbed,STS789
FF009,ABC Freight Services,John Doe (john.doe@abcfreight.com),(Empty Field),(Empty Field),(Empty Field),Sea,Sea,Export,Port A,Port B,2023-12-10,2023-12-20,Standard,ABC345
FF010,XYZ Shipping Solutions,Jane Smith (jane.smith@xyzshipping.com),(Empty Field),(Empty Field),(Empty Field),Air,Air,Export,Port C,Port D,2023-12-15,2023-12-25,Reefer,XYZ890
