id,Inventory Levels,Reorder Point,Lead Time for Replenishment,Tracking Number,Location,Status,Packing option ID,Quantity,Location,Estimated Arrival Time,Backorder Options,Batch Numbers,Expiration Dates,Contact for Inventory Queries,Historical Data,Status,Date created,Date updated
1,120,50,7 days,TRACK001,Los Angeles,In Transit,PT001,100,Denver,2023-10-07,Available,Batch001,2024-10-01,inventoryLA@pack.com,"120 on 2023-09-01",In Stock,2023-08-01,2023-09-05
2,250,80,5 days,TRACK002,New York,Delivered,PT002,200,Chicago,2023-10-05,Not Available,Batch002,2025-01-15,inventoryNY@pack.com,"250 on 2023-09-02",In Stock,2023-08-05,2023-09-06
3,60,20,10 days,TRACK003,Dallas,Backordered,PT003,40,Houston,2023-10-12,Yes,Batch003,2024-12-20,inventoryDAL@pack.com,"60 on 2023-09-03",Low Stock,2023-07-25,2023-09-07
4,90,30,9 days,TRACK004,Seattle,In Transit,PT004,70,Portland,2023-10-11,Available,Batch004,2025-02-05,inventorySEA@pack.com,"90 on 2023-09-04",In Stock,2023-08-12,2023-09-08
5,150,60,8 days,TRACK005,Miami,Delivered,PT005,120,Orlando,2023-10-10,Not Available,Batch005,2024-11-12,inventoryMIA@pack.com,"150 on 2023-09-05",In Stock,2023-08-15,2023-09-09
6,70,25,7 days,TRACK006,San Francisco,In Transit,PT006,60,San Diego,2023-10-07,Available,Batch006,2024-10-05,inventorySF@pack.com,"70 on 2023-09-06",Low Stock,2023-07-30,2023-09-10
7,230,90,6 days,TRACK007,Atlanta,Delivered,PT007,200,Charlotte,2023-10-06,Not Available,Batch007,2025-03-10,inventoryATL@pack.com,"230 on 2023-09-07",In Stock,2023-08-10,2023-09-11
8,50,15,11 days,TRACK008,Boston,Backordered,PT008,30,Philadelphia,2023-10-13,Yes,Batch008,2024-09-25,inventoryBOS@pack.com,"50 on 2023-09-08",Low Stock,2023-07-20,2023-09-12
9,210,70,5 days,TRACK009,Phoenix,In Transit,PT009,180,Las Vegas,2023-10-05,Available,Batch009,2024-08-15,inventoryPHX@pack.com,"210 on 2023-09-09",In Stock,2023-08-09,2023-09-13
10,100,40,7 days,TRACK010,Minneapolis,Delivered,PT010,85,Milwaukee,2023-10-07,Not Available,Batch010,2025-04-05,inventoryMIN@pack.com,"100 on 2023-09-10",In Stock,2023-08-03,2023-09-14
