id,Specialised Package Type,Dimensions,Weight Limit,Material,Cost,Availability,Use Case,Packing option ID,Name,Description,Dimensions (length, width, height),Maximum quantity,Is mandatory,Color Options,Customization Options,Environmental Impact,Additional Features,Bulk Order Discounts,Lead Time,Image,Recommended for
1,Temperature-Controlled,15x15x15,20 lbs,Insulated foam,$20.00,In Stock,Cold Chain Storage,SP001,CoolPack,Keeps contents at low temperatures,15, 15, 15,10,Yes,White,None,Recyclable,Thermal lining,None,5 days,imgSP001.jpg,Perishable items
2,Shockproof,12x12x12,15 lbs,Reinforced cardboard,$10.00,In Stock,Fragile Electronics,SP002,ShockGuard,Protection against impacts,12, 12, 12,20,No,Black,Green,Partly Recyclable,Padded interior,5% off for 500+,7 days,imgSP002.jpg,Electronics
3,Vacuum-Sealed,10x10,5 lbs,Plastic,$5.00,Low Stock,Food Storage,SP003,VacuBag,Ensures freshness,10, 10, N/A,50,No,Clear,None,Non-Biodegradable,Sealable,None,4 days,imgSP003.jpg,Food
4,Child-Proof,5x5x10,3 lbs,Plastic,$3.50,In Stock,Medication Storage,SP004,ChildGuard,Prevents child access,5, 5, 10,25,Yes,White,None,Recyclable,Child-proof cap,3% off for 200+,3 days,imgSP004.jpg,Medication
5,Liquid-Proof,8x11,2 lbs,Plastic/Poly,$4.00,Out of Stock,Liquids,SP005,LiquidLock,Protection against spills,8, 11, N/A,40,No,Blue,None,Recyclable,Sealable,None,6 days,imgSP005.jpg,Liquids
6,UV-Resistant,10x15,10 lbs,Plastic,$8.00,In Stock,UV Sensitive Products,SP006,SunShield,Blocks UV radiation,10, 15, N/A,20,No,Black,None,Recyclable,UV-blocking,None,4 days,imgSP006.jpg,Sensitive items
7,Airtight,12x12x12,12 lbs,Plastic,$9.00,In Stock,Odor Containment,SP007,OdorGuard,Contains strong odors,12, 12, 12,15,No,Green,None,Recyclable,Sealable,None,5 days,imgSP007.jpg,Odorous items
8,Biodegradable,15x20,5 lbs,Paper,$2.50,In Stock,Eco-Friendly Packaging,SP008,BioWrap,Eco-friendly wrapping,15, 20, N/A,30,No,Brown,Green,Biodegradable,None,10% off for 1000+,2 days,imgSP008.jpg,Environmentally-conscious use
9,Tamper-Evident,6x9,1 lb,Plastic,$2.00,In Stock,Secure Documents,SP009,SecureSeal,Shows tamper evidence,6, 9, N/A,60,No,Clear,None,Partly Recyclable,Tamper-evident seal,None,3 days,imgSP009.jpg,Secure documents
10,Fireproof,10x10x10,10 lbs,Asbestos,$30.00,In Stock,Document Storage,SP010,FireBlock,Protects against fire,10, 10, 10,5,No,Grey,None,Non-Biodegradable,Fireproof layer,None,14 days,imgSP010.jpg,Important documents
